CHR/ IB Item ID,Customer Name,Site Name,Customer location (Country),Project/ BAU,FEB Reference,Task Received Date,month,Task Accept Date,Request place date,Task close date,Date of Install,INSTALL TIME,CHR Value,Curr.,Converted to USD,Duration Hour,Additional hrs,quote received,Neeco- Basic,Neeco - addi,SGS-Basic,SGS - addi,NSC- Basic,Travel/cable /nuts,NSC - addi,Supplier,Basic Hrs,Additional hrs ,Curr. ,Basic saving,Cost optimization,Additional hrs  ,Final Charges,FE received Date- Vendor,FE details shared - Requestor,FE Name,FE Contact No.,Task Regarding,Requestor name,PO NO,Remarks,IN TIME,OUT TIME,closed,Quote ETA,"Request received, validated - Accepted/Rejected",Order placing to vendors,Expected ETA from vendor,Provide ETA & FE details to internal team,Closer Measurement,Task Acceptance,FE closure,quote received date,SVR Received date,PO Created date,CLOSURE STATUS
CHR001000119,Vodafone Italia,Vodafone Italia - UAE,UAE,Project,FEB2646331504,01/03/2024,Jan-2024,01/04/2024,01/04/2024,01/10/2024,01/09/2024,14:45,1035.14,USD,1035.14,13.6,2.7,01/04/2024,0.0,0.0,0.0,0.0,621.08,12.64,81.0,NSC,13.6,2.7,USD,31.67,31.67,2.7,1003.47,01/04/2024,01/05/2024,Mohammed Al-Farsi,+26 848 7112,FE detail Received,Renuka,4543246714,,14:45,23:45,01/10/2024,5,MET,MET,MET,MET,MET,Not Met,Not Met,01/04/2024,01/10/2024,01/04/2024,OPEN TASK
CHR001000120,Seven For All Mankind,Seven For All Mankind - India,India,Project,FEB7400268709,02/22/2024,Feb-2024,02/23/2024,02/23/2024,03/07/2024,03/03/2024,18:15,532.0,USD,532.0,9.1,2.3,02/23/2024,0.0,0.0,0.0,0.0,319.2,62.51,69.0,NSC,9.1,2.3,USD,21.68,21.68,2.3,510.32,02/23/2024,02/24/2024,Elena Ivanova,+22 931 7609,FE detail Received,Renuka,4530657783,,18:15,23:15,03/07/2024,2,MET,MET,Not Met,MET,Not Met,Not Met,Not Met,02/23/2024,03/07/2024,02/23/2024,OPEN TASK
CHR001000121,Vodafone Italia,Vodafone Italia - UAE,UAE,Project,FEB4014501050,07/11/2024,Jul-2024,07/13/2024,07/13/2024,07/22/2024,07/18/2024,09:30,314.39,USD,314.39,4.5,0.6,07/13/2024,0.0,0.0,188.63,18.0,0.0,24.38,0.0,SGS,4.5,0.6,USD,116.65,116.65,0.6,197.74,07/13/2024,07/14/2024,Ronald Yau,+88 745 1152,FE detail Received,Sonali,4556488410,,09:30,13:30,07/22/2024,1,MET,MET,MET,MET,MET,MET,MET,07/13/2024,07/22/2024,07/13/2024,TASK CLOSE
CHR001000122,Hilton Hotels,Hilton Hotels - Australia,Australia,Project,FEB2419931729,05/24/2024,May-2024,05/24/2024,05/24/2024,05/29/2024,05/26/2024,15:15,378.9,USD,378.9,2.8,0.2,05/24/2024,0.0,0.0,227.34,6.0,0.0,10.19,0.0,SGS,2.8,0.2,USD,55.91,55.91,0.2,322.99,05/24/2024,05/25/2024,Anna Kowalski,+86 191 2809,FE detail Received,Deepa,4577061479,,15:15,17:15,05/29/2024,4,MET,MET,MET,Not Met,MET,MET,MET,05/24/2024,05/29/2024,05/24/2024,TASK CLOSE
CHR001000123,Nokia Networks,Nokia Networks - China,China,BAU,FEB6027311960,05/31/2024,May-2024,06/01/2024,06/01/2024,06/09/2024,06/09/2024,08:00,311.83,USD,311.83,2.4,0.2,06/01/2024,0.0,0.0,187.1,6.0,0.0,35.03,0.0,SGS,2.4,0.2,USD,64.25,64.25,0.2,247.58,06/01/2024,06/02/2024,Chen Wei,+57 736 5395,FE detail Received,Rahul,4512475714,,08:00,10:00,06/09/2024,3,Not Met,MET,MET,Not Met,MET,MET,MET,06/01/2024,06/09/2024,06/01/2024,TASK CLOSE
CHR001000124,Cisco Systems,Cisco Systems - USA,USA,Project,FEB3625764422,11/28/2024,Nov-2024,11/28/2024,11/28/2024,12/01/2024,11/30/2024,10:45,776.99,USD,776.99,8.2,1.1,11/28/2024,466.19,33.0,0.0,0.0,0.0,70.38,0.0,Neeco,8.2,1.1,USD,74.27,74.27,1.1,702.72,11/28/2024,11/29/2024,Carlos Mendez,+94 233 8914,FE detail Received,Supriya,4515158211,,10:45,18:45,12/01/2024,4,MET,MET,MET,MET,MET,MET,MET,11/28/2024,12/01/2024,11/28/2024,OPEN TASK
CHR001000125,Huawei,Huawei - Australia,Australia,BAU,FEB8940731272,04/24/2024,Apr-2024,04/26/2024,04/26/2024,05/06/2024,05/02/2024,16:00,566.67,USD,566.67,11.2,4.8,04/26/2024,0.0,0.0,0.0,0.0,340.0,69.63,144.0,NSC,11.2,4.8,USD,19.24,19.24,4.8,547.43,04/26/2024,04/27/2024,Kwame Mensah,+22 176 9055,FE detail Received,Sonali,4532331952,,16:00,23:00,05/06/2024,3,Not Met,MET,MET,MET,MET,Not Met,MET,04/26/2024,05/06/2024,04/26/2024,OPEN TASK
CHR001000126,Nokia Networks,Nokia Networks - Kenya,Kenya,Project,FEB3415200001,08/15/2024,Aug-2024,08/17/2024,08/17/2024,08/25/2024,08/25/2024,08:00,447.48,USD,447.48,9.1,1.9,08/17/2024,268.49,57.0,0.0,0.0,0.0,55.82,0.0,Neeco,9.1,1.9,USD,64.57,64.57,1.9,382.91,08/17/2024,08/18/2024,Yuki Tanaka,+59 449 6953,FE detail Received,Deepa,4507284695,,08:00,17:00,08/25/2024,2,Not Met,MET,Not Met,MET,MET,MET,Not Met,08/17/2024,08/25/2024,08/17/2024,TASK CLOSE
CHR001000127,Hilton Hotels,Hilton Hotels - USA,USA,BAU,FEB1841476312,02/19/2024,Feb-2024,02/21/2024,02/21/2024,02/25/2024,02/25/2024,10:45,1175.1,USD,1175.1,9.4,5.3,02/21/2024,0.0,0.0,0.0,0.0,705.06,18.45,159.0,NSC,9.4,5.3,USD,8.21,8.21,5.3,1166.89,02/21/2024,02/22/2024,Elena Ivanova,+51 320 8488,FE detail Received,Deepa,4525579048,,10:45,19:45,02/25/2024,3,MET,MET,Not Met,Not Met,Not Met,MET,Not Met,02/21/2024,02/25/2024,02/21/2024,TASK CLOSE
CHR001000128,Nokia Networks,Nokia Networks - USA,USA,BAU,FEB5739728188,12/03/2024,Dec-2024,12/05/2024,12/05/2024,12/15/2024,12/14/2024,10:15,1015.35,USD,1015.35,15.6,2.0,12/05/2024,0.0,0.0,0.0,0.0,609.21,56.03,60.0,NSC,15.6,2.0,USD,39.05,39.05,2.0,976.3,12/05/2024,12/06/2024,Sarah Johnson,+78 429 9259,FE detail Received,Supriya,4556192230,,10:15,23:15,12/15/2024,5,Not Met,Not Met,MET,Not Met,Not Met,Not Met,MET,12/05/2024,12/15/2024,12/05/2024,CANCELLED
CHR001000129,Seven For All Mankind,Seven For All Mankind - Indonesia,Indonesia,BAU,FEB5115980792,07/30/2024,Jul-2024,08/01/2024,08/01/2024,08/12/2024,08/10/2024,18:30,525.56,USD,525.56,9.1,2.1,08/01/2024,315.34,63.0,0.0,0.0,0.0,45.27,0.0,Neeco,9.1,2.1,USD,77.15,77.15,2.1,448.41,08/01/2024,08/02/2024,Sophie Martin,+89 752 6281,FE detail Received,Rahul,4515489430,,18:30,23:30,08/12/2024,3,MET,MET,Not Met,MET,MET,Not Met,MET,08/01/2024,08/12/2024,08/01/2024,TASK CLOSE
CHR001000130,Cisco Systems,Cisco Systems - India,India,BAU,FEB5433722159,01/07/2024,Jan-2024,01/09/2024,01/09/2024,01/11/2024,01/11/2024,08:30,539.62,USD,539.62,9.8,2.2,01/09/2024,0.0,0.0,0.0,0.0,323.77,66.98,66.0,NSC,9.8,2.2,USD,7.32,7.32,2.2,532.3,01/09/2024,01/10/2024,Kwame Mensah,+14 730 4675,FE detail Received,Rahul,4586854901,,08:30,17:30,01/11/2024,5,MET,MET,Not Met,MET,Not Met,MET,Not Met,01/09/2024,01/11/2024,01/09/2024,OPEN TASK
CHR001000131,Cisco Systems,Cisco Systems - UK,UK,BAU,FEB5141593270,08/01/2024,Aug-2024,08/03/2024,08/03/2024,08/13/2024,08/09/2024,18:30,642.16,USD,642.16,6.5,5.0,08/03/2024,0.0,0.0,0.0,0.0,385.3,30.59,150.0,NSC,6.5,5.0,USD,31.69,31.69,5.0,610.47,08/03/2024,08/04/2024,David Kimani,+23 799 2220,FE detail Received,Anandhy,4523326387,,18:30,23:30,08/13/2024,5,MET,MET,MET,MET,Not Met,Not Met,Not Met,08/03/2024,08/13/2024,08/03/2024,TASK CLOSE
CHR001000132,Vodafone Italia,Vodafone Italia - India,India,Project,FEB3256554634,06/18/2024,Jun-2024,06/19/2024,06/19/2024,06/22/2024,06/22/2024,13:00,315.26,USD,315.26,2.6,0.3,06/19/2024,0.0,0.0,189.16,9.0,0.0,76.99,0.0,SGS,2.6,0.3,USD,135.9,135.9,0.3,179.36,06/19/2024,06/20/2024,James Osei,+67 169 9276,FE detail Received,Anandhy,4555825346,,13:00,15:00,06/22/2024,5,MET,MET,MET,MET,MET,Not Met,MET,06/19/2024,06/22/2024,06/19/2024,TASK CLOSE
CHR001000133,Deutsche Telekom,Deutsche Telekom - UAE,UAE,BAU,FEB6673381261,04/21/2024,Apr-2024,04/23/2024,04/23/2024,05/05/2024,05/02/2024,17:15,792.45,USD,792.45,10.0,2.6,04/23/2024,475.47,78.0,0.0,0.0,0.0,74.12,0.0,Neeco,10.0,2.6,USD,69.1,69.1,2.6,723.35,04/23/2024,04/24/2024,Fatima Al-Rashid,+15 495 5203,FE detail Received,Priya,4597170361,,17:15,23:15,05/05/2024,3,MET,MET,Not Met,MET,MET,MET,Not Met,04/23/2024,05/05/2024,04/23/2024,CANCELLED
CHR001000134,Vodafone Italia,Vodafone Italia - USA,USA,BAU,FEB9899689747,05/31/2024,May-2024,06/02/2024,06/02/2024,06/08/2024,06/06/2024,11:45,617.18,USD,617.18,11.1,5.8,06/02/2024,0.0,0.0,0.0,0.0,370.31,58.02,174.0,NSC,11.1,5.8,USD,33.52,33.52,5.8,583.66,06/02/2024,06/03/2024,Nadia Benali,+4 570 6434,FE detail Received,Renuka,4511746856,,11:45,22:45,06/08/2024,1,MET,Not Met,MET,MET,MET,Not Met,Not Met,06/02/2024,06/08/2024,06/02/2024,TASK CLOSE
CHR001000135,Cisco Systems,Cisco Systems - UK,UK,BAU,FEB8240793721,08/18/2024,Aug-2024,08/20/2024,08/20/2024,08/30/2024,08/27/2024,09:30,335.49,USD,335.49,3.3,0.4,08/20/2024,0.0,0.0,201.29,12.0,0.0,52.46,0.0,SGS,3.3,0.4,USD,56.83,56.83,0.4,278.66,08/20/2024,08/21/2024,Chen Wei,+37 883 8170,FE detail Received,Supriya,4553031203,,09:30,12:30,08/30/2024,1,MET,MET,MET,MET,MET,MET,MET,08/20/2024,08/30/2024,08/20/2024,TASK CLOSE
CHR001000136,Deutsche Telekom,Deutsche Telekom - Indonesia,Indonesia,Project,FEB1611840071,12/12/2024,Dec-2024,12/14/2024,12/14/2024,12/20/2024,12/20/2024,13:15,586.26,USD,586.26,11.5,4.2,12/14/2024,0.0,0.0,0.0,0.0,351.76,22.88,126.0,NSC,11.5,4.2,USD,15.23,15.23,4.2,571.03,12/14/2024,12/15/2024,Amara Diallo,+79 954 5140,FE detail Received,Anandhy,4515384377,,13:15,23:15,12/20/2024,2,MET,MET,MET,Not Met,Not Met,MET,Not Met,12/14/2024,12/20/2024,12/14/2024,CANCELLED
CHR001000137,Hilton Hotels,Hilton Hotels - Singapore,Singapore,Project,FEB7230477043,05/28/2024,May-2024,05/30/2024,05/30/2024,06/03/2024,06/01/2024,11:30,841.03,USD,841.03,7.0,4.9,05/30/2024,0.0,0.0,0.0,0.0,504.62,53.14,147.0,NSC,7.0,4.9,USD,30.98,30.98,4.9,810.05,05/30/2024,05/31/2024,Nadia Benali,+40 810 3496,FE detail Received,Priya,4576082915,,11:30,18:30,06/03/2024,3,Not Met,Not Met,MET,MET,Not Met,MET,MET,05/30/2024,06/03/2024,05/30/2024,TASK CLOSE
CHR001000138,Airtel Africa,Airtel Africa - India,India,Project,FEB3691307645,03/09/2024,Mar-2024,03/11/2024,03/11/2024,03/20/2024,03/17/2024,10:15,391.64,USD,391.64,3.9,0.4,03/11/2024,0.0,0.0,234.98,12.0,0.0,60.92,0.0,SGS,3.9,0.4,USD,178.81,178.81,0.4,212.83,03/11/2024,03/12/2024,Omar Hassan,+3 969 9309,FE detail Received,Rahul,4504186818,,10:15,13:15,03/20/2024,5,MET,Not Met,MET,MET,MET,MET,MET,03/11/2024,03/20/2024,03/11/2024,OPEN TASK
CHR001000139,Nokia Networks,Nokia Networks - Singapore,Singapore,BAU,FEB5897854817,11/30/2024,Nov-2024,11/30/2024,11/30/2024,12/09/2024,12/06/2024,18:15,693.29,USD,693.29,5.3,2.5,11/30/2024,415.97,75.0,0.0,0.0,0.0,21.15,0.0,Neeco,5.3,2.5,USD,60.17,60.17,2.5,633.12,11/30/2024,12/01/2024,Ali Hassan,+73 679 3395,FE detail Received,Rahul,4598247977,,18:15,23:15,12/09/2024,4,Not Met,MET,Not Met,MET,MET,MET,MET,11/30/2024,12/09/2024,11/30/2024,TASK CLOSE
CHR001000140,Vodafone Italia,Vodafone Italia - China,China,BAU,FEB6920691967,12/08/2024,Dec-2024,12/08/2024,12/08/2024,12/19/2024,12/17/2024,12:30,752.62,USD,752.62,6.3,2.8,12/08/2024,451.57,84.0,0.0,0.0,0.0,51.14,0.0,Neeco,6.3,2.8,USD,70.69,70.69,2.8,681.93,12/08/2024,12/09/2024,Fatima Al-Rashid,+10 629 5121,FE detail Received,Supriya,4529917031,,12:30,18:30,12/19/2024,5,MET,Not Met,MET,Not Met,MET,MET,MET,12/08/2024,12/19/2024,12/08/2024,CANCELLED
CHR001000141,Seven For All Mankind,Seven For All Mankind - Singapore,Singapore,Project,FEB8195055602,08/13/2024,Aug-2024,08/13/2024,08/13/2024,08/17/2024,08/17/2024,13:00,605.17,USD,605.17,11.1,3.1,08/13/2024,0.0,0.0,0.0,0.0,363.1,43.53,93.0,NSC,11.1,3.1,USD,20.73,20.73,3.1,584.44,08/13/2024,08/14/2024,David Kimani,+76 265 7732,FE detail Received,Renuka,4532704875,,13:00,23:00,08/17/2024,1,MET,MET,MET,MET,Not Met,MET,Not Met,08/13/2024,08/17/2024,08/13/2024,OPEN TASK
CHR001000142,Seven For All Mankind,Seven For All Mankind - Germany,Germany,BAU,FEB4296344958,05/12/2024,May-2024,05/12/2024,05/12/2024,05/24/2024,05/21/2024,15:45,513.03,USD,513.03,12.0,4.3,05/12/2024,0.0,0.0,0.0,0.0,307.82,53.62,129.0,NSC,12.0,4.3,USD,22.46,22.46,4.3,490.57,05/12/2024,05/13/2024,Mohammed Al-Farsi,+66 370 3747,FE detail Received,Rahul,4592018488,,15:45,23:45,05/24/2024,3,Not Met,MET,MET,MET,MET,Not Met,Not Met,05/12/2024,05/24/2024,05/12/2024,TASK CLOSE
CHR001000143,SGS S.A.,SGS S.A. - Germany,Germany,BAU,FEB8083396378,09/24/2024,Sep-2024,09/26/2024,09/26/2024,10/04/2024,10/03/2024,18:15,570.48,USD,570.48,4.4,0.2,09/26/2024,0.0,0.0,342.29,6.0,0.0,46.54,0.0,SGS,4.4,0.2,USD,63.98,63.98,0.2,506.5,09/26/2024,09/27/2024,Ronald Yau,+48 995 1711,FE detail Received,Rahul,4571110769,,18:15,22:15,10/04/2024,4,MET,Not Met,Not Met,MET,MET,MET,Not Met,09/26/2024,10/04/2024,09/26/2024,TASK CLOSE
CHR001000144,Cisco Systems,Cisco Systems - Kenya,Kenya,BAU,FEB8749354330,03/09/2024,Mar-2024,03/10/2024,03/10/2024,03/19/2024,03/18/2024,16:00,918.8,USD,918.8,15.1,2.3,03/10/2024,0.0,0.0,0.0,0.0,551.28,38.62,69.0,NSC,15.1,2.3,USD,0.36,0.36,2.3,918.44,03/10/2024,03/11/2024,Rania Mostafa,+14 258 7980,FE detail Received,Rahul,4578567056,,16:00,23:00,03/19/2024,3,MET,MET,MET,MET,MET,Not Met,MET,03/10/2024,03/19/2024,03/10/2024,OPEN TASK
CHR001000145,Cisco Systems,Cisco Systems - China,China,BAU,FEB1694904767,10/09/2024,Oct-2024,10/11/2024,10/11/2024,10/20/2024,10/19/2024,18:00,677.64,USD,677.64,9.7,4.2,10/11/2024,0.0,0.0,0.0,0.0,406.58,25.01,126.0,NSC,9.7,4.2,USD,42.75,42.75,4.2,634.89,10/11/2024,10/12/2024,Pedro Alves,+52 904 6544,FE detail Received,Deepa,4573897088,,18:00,23:00,10/20/2024,5,MET,Not Met,MET,Not Met,Not Met,MET,MET,10/11/2024,10/20/2024,10/11/2024,OPEN TASK
CHR001000146,Nokia Networks,Nokia Networks - Indonesia,Indonesia,BAU,FEB8044997538,11/03/2024,Nov-2024,11/04/2024,11/04/2024,11/06/2024,11/06/2024,17:00,482.71,USD,482.71,3.1,0.4,11/04/2024,0.0,0.0,289.63,12.0,0.0,40.73,0.0,SGS,3.1,0.4,USD,92.97,92.97,0.4,389.74,11/04/2024,11/05/2024,Ronald Yau,+26 970 9489,FE detail Received,Sonali,4526138432,,17:00,20:00,11/06/2024,1,Not Met,MET,MET,MET,MET,MET,Not Met,11/04/2024,11/06/2024,11/04/2024,TASK CLOSE
CHR001000147,SGS S.A.,SGS S.A. - UAE,UAE,Project,FEB8797577040,12/01/2024,Dec-2024,12/01/2024,12/01/2024,12/04/2024,12/04/2024,09:30,747.19,USD,747.19,16.0,5.1,12/01/2024,0.0,0.0,0.0,0.0,448.31,25.84,153.0,NSC,16.0,5.1,USD,3.43,3.43,5.1,743.76,12/01/2024,12/02/2024,David Kimani,+25 565 7618,FE detail Received,Priya,4500624307,,09:30,23:30,12/04/2024,3,MET,MET,MET,MET,Not Met,MET,Not Met,12/01/2024,12/04/2024,12/01/2024,OPEN TASK
CHR001000148,Deutsche Telekom,Deutsche Telekom - Singapore,Singapore,BAU,FEB2107327477,10/02/2024,Oct-2024,10/04/2024,10/04/2024,10/14/2024,10/09/2024,08:45,593.45,USD,593.45,6.7,1.8,10/04/2024,356.07,54.0,0.0,0.0,0.0,36.79,0.0,Neeco,6.7,1.8,USD,91.72,91.72,1.8,501.73,10/04/2024,10/05/2024,Maria Santos,+29 793 4767,FE detail Received,Deepa,4542376656,,08:45,14:45,10/14/2024,4,Not Met,MET,MET,Not Met,Not Met,MET,MET,10/04/2024,10/14/2024,10/04/2024,OPEN TASK
CHR001000149,Cisco Systems,Cisco Systems - Kenya,Kenya,BAU,FEB2139907416,12/10/2024,Dec-2024,12/12/2024,12/12/2024,12/18/2024,12/18/2024,11:45,394.16,USD,394.16,4.2,0.2,12/12/2024,0.0,0.0,236.5,6.0,0.0,26.04,0.0,SGS,4.2,0.2,USD,189.54,189.54,0.2,204.62,12/12/2024,12/13/2024,Chen Wei,+32 956 6833,FE detail Received,Anandhy,4514319594,,11:45,15:45,12/18/2024,1,Not Met,MET,MET,MET,MET,MET,MET,12/12/2024,12/18/2024,12/12/2024,TASK CLOSE
CHR001000150,Airtel Africa,Airtel Africa - USA,USA,BAU,FEB7453081889,11/13/2024,Nov-2024,11/14/2024,11/14/2024,11/26/2024,11/22/2024,14:45,1189.08,USD,1189.08,14.7,4.0,11/14/2024,0.0,0.0,0.0,0.0,713.45,37.56,120.0,NSC,14.7,4.0,USD,2.71,2.71,4.0,1186.37,11/14/2024,11/15/2024,David Kimani,+88 894 3863,FE detail Received,Supriya,4516155543,,14:45,23:45,11/26/2024,5,MET,MET,MET,MET,MET,Not Met,MET,11/14/2024,11/26/2024,11/14/2024,OPEN TASK
CHR001000151,Airtel Africa,Airtel Africa - UAE,UAE,Project,FEB2935866295,11/09/2024,Nov-2024,11/10/2024,11/10/2024,11/17/2024,11/13/2024,13:45,1170.97,USD,1170.97,8.6,3.1,11/10/2024,0.0,0.0,0.0,0.0,702.58,50.0,93.0,NSC,8.6,3.1,USD,37.61,37.61,3.1,1133.36,11/10/2024,11/11/2024,Sarah Johnson,+74 802 4744,FE detail Received,Deepa,4513404289,,13:45,21:45,11/17/2024,3,Not Met,MET,Not Met,MET,Not Met,MET,MET,11/10/2024,11/17/2024,11/10/2024,TASK CLOSE
CHR001000152,Vodafone Italia,Vodafone Italia - USA,USA,BAU,FEB1257854279,03/31/2024,Mar-2024,04/01/2024,04/01/2024,04/10/2024,04/09/2024,14:00,861.9,USD,861.9,16.0,5.4,04/01/2024,0.0,0.0,0.0,0.0,517.14,66.97,162.0,NSC,16.0,5.4,USD,28.39,28.39,5.4,833.51,04/01/2024,04/02/2024,Mohammed Al-Farsi,+61 959 2577,FE detail Received,Supriya,4599937610,,14:00,23:00,04/10/2024,3,MET,MET,MET,Not Met,MET,Not Met,Not Met,04/01/2024,04/10/2024,04/01/2024,OPEN TASK
CHR001000153,Hilton Hotels,Hilton Hotels - UK,UK,Project,FEB7930633125,06/28/2024,Jun-2024,06/30/2024,06/30/2024,07/11/2024,07/10/2024,15:00,615.38,USD,615.38,7.5,2.3,06/30/2024,369.23,69.0,0.0,0.0,0.0,42.46,0.0,Neeco,7.5,2.3,USD,81.98,81.98,2.3,533.4,06/30/2024,07/01/2024,Joel Macharia,+19 989 3745,FE detail Received,Rahul,4545283492,,15:00,22:00,07/11/2024,4,MET,MET,Not Met,MET,MET,Not Met,MET,06/30/2024,07/11/2024,06/30/2024,TASK CLOSE
CHR001000154,Airtel Africa,Airtel Africa - China,China,BAU,FEB4668811953,06/11/2024,Jun-2024,06/13/2024,06/13/2024,06/23/2024,06/18/2024,14:15,381.37,USD,381.37,3.1,0.6,06/13/2024,0.0,0.0,228.82,18.0,0.0,18.75,0.0,SGS,3.1,0.6,USD,194.83,194.83,0.6,186.54,06/13/2024,06/14/2024,Priya Singh,+31 777 5122,FE detail Received,Rahul,4594045949,,14:15,17:15,06/23/2024,1,MET,MET,MET,Not Met,MET,MET,Not Met,06/13/2024,06/23/2024,06/13/2024,TASK CLOSE
CHR001000155,Vodafone Italia,Vodafone Italia - Germany,Germany,BAU,FEB9740924080,07/22/2024,Jul-2024,07/24/2024,07/24/2024,07/26/2024,07/26/2024,10:15,661.93,USD,661.93,5.6,1.3,07/24/2024,397.16,39.0,0.0,0.0,0.0,34.98,0.0,Neeco,5.6,1.3,USD,70.12,70.12,1.3,591.81,07/24/2024,07/25/2024,Ali Hassan,+42 984 8801,FE detail Received,Supriya,4572555977,,10:15,15:15,07/26/2024,3,MET,MET,Not Met,MET,MET,Not Met,MET,07/24/2024,07/26/2024,07/24/2024,TASK CLOSE
CHR001000156,Huawei,Huawei - USA,USA,Project,FEB6526601778,08/10/2024,Aug-2024,08/12/2024,08/12/2024,08/23/2024,08/21/2024,16:15,658.99,USD,658.99,15.1,3.9,08/12/2024,0.0,0.0,0.0,0.0,395.39,47.46,117.0,NSC,15.1,3.9,USD,0.53,0.53,3.9,658.46,08/12/2024,08/13/2024,Rania Mostafa,+89 603 8816,FE detail Received,Sonali,4501225756,,16:15,23:15,08/23/2024,4,Not Met,MET,Not Met,MET,Not Met,MET,MET,08/12/2024,08/23/2024,08/12/2024,TASK CLOSE
CHR001000157,Cisco Systems,Cisco Systems - Singapore,Singapore,Project,FEB6449549092,07/21/2024,Jul-2024,07/21/2024,07/21/2024,07/29/2024,07/24/2024,18:30,413.51,USD,413.51,4.9,0.4,07/21/2024,0.0,0.0,248.11,12.0,0.0,23.16,0.0,SGS,4.9,0.4,USD,186.49,186.49,0.4,227.02,07/21/2024,07/22/2024,Omar Hassan,+9 286 3238,FE detail Received,Sonali,4514811778,,18:30,22:30,07/29/2024,4,MET,MET,MET,MET,MET,MET,MET,07/21/2024,07/29/2024,07/21/2024,TASK CLOSE
CHR001000158,Ericsson,Ericsson - Germany,Germany,Project,FEB5431277186,01/12/2024,Jan-2024,01/12/2024,01/12/2024,01/16/2024,01/14/2024,15:30,518.13,USD,518.13,3.1,0.7,01/12/2024,0.0,0.0,310.88,21.0,0.0,15.62,0.0,SGS,3.1,0.7,USD,96.74,96.74,0.7,421.39,01/12/2024,01/13/2024,Fatihaqul Ihsan,+97 249 1918,FE detail Received,Sonali,4552669959,,15:30,18:30,01/16/2024,1,MET,MET,Not Met,MET,MET,MET,MET,01/12/2024,01/16/2024,01/12/2024,TASK CLOSE
CHR001000159,SGS S.A.,SGS S.A. - Kenya,Kenya,BAU,FEB5819561096,07/16/2024,Jul-2024,07/17/2024,07/17/2024,07/26/2024,07/21/2024,13:15,694.13,USD,694.13,10.0,1.4,07/17/2024,416.48,42.0,0.0,0.0,0.0,43.69,0.0,Neeco,10.0,1.4,USD,96.9,96.9,1.4,597.23,07/17/2024,07/18/2024,Joel Macharia,+39 303 6905,FE detail Received,Renuka,4589482259,,13:15,23:15,07/26/2024,2,Not Met,MET,MET,MET,MET,MET,Not Met,07/17/2024,07/26/2024,07/17/2024,TASK CLOSE
CHR001000160,Cisco Systems,Cisco Systems - Kenya,Kenya,BAU,FEB1461243650,05/04/2024,May-2024,05/04/2024,05/04/2024,05/09/2024,05/05/2024,18:00,638.48,USD,638.48,8.7,2.0,05/04/2024,383.09,60.0,0.0,0.0,0.0,44.15,0.0,Neeco,8.7,2.0,USD,69.49,69.49,2.0,568.99,05/04/2024,05/05/2024,Ngozi Adeyemi,+41 671 6690,FE detail Received,Deepa,4558883853,,18:00,23:00,05/09/2024,2,MET,MET,Not Met,MET,MET,MET,MET,05/04/2024,05/09/2024,05/04/2024,TASK CLOSE
CHR001000161,Ericsson,Ericsson - USA,USA,Project,FEB6871704354,05/30/2024,May-2024,06/01/2024,06/01/2024,06/10/2024,06/09/2024,16:15,397.1,USD,397.1,4.3,0.5,06/01/2024,0.0,0.0,238.26,15.0,0.0,10.05,0.0,SGS,4.3,0.5,USD,74.05,74.05,0.5,323.05,06/01/2024,06/02/2024,Lucas Silva,+82 618 7210,FE detail Received,Rahul,4524901990,,16:15,20:15,06/10/2024,1,MET,MET,MET,MET,MET,MET,Not Met,06/01/2024,06/10/2024,06/01/2024,OPEN TASK
CHR001000162,SGS S.A.,SGS S.A. - UK,UK,BAU,FEB5754765755,09/25/2024,Sep-2024,09/27/2024,09/27/2024,10/09/2024,10/05/2024,10:00,422.94,USD,422.94,2.6,0.3,09/27/2024,0.0,0.0,253.76,9.0,0.0,23.41,0.0,SGS,2.6,0.3,USD,190.67,190.67,0.3,232.27,09/27/2024,09/28/2024,Anna Kowalski,+5 684 7366,FE detail Received,Rahul,4565754558,,10:00,12:00,10/09/2024,5,MET,MET,MET,MET,MET,MET,MET,09/27/2024,10/09/2024,09/27/2024,TASK CLOSE
CHR001000163,SGS S.A.,SGS S.A. - Germany,Germany,BAU,FEB8878930685,12/01/2024,Dec-2024,12/02/2024,12/02/2024,12/07/2024,12/04/2024,12:00,890.61,USD,890.61,14.0,2.2,12/02/2024,0.0,0.0,0.0,0.0,534.37,15.46,66.0,NSC,14.0,2.2,USD,41.18,41.18,2.2,849.43,12/02/2024,12/03/2024,Sarah Johnson,+28 631 2591,FE detail Received,Renuka,4597330929,,12:00,23:00,12/07/2024,2,MET,MET,MET,MET,MET,Not Met,MET,12/02/2024,12/07/2024,12/02/2024,OPEN TASK
CHR001000164,Ericsson,Ericsson - Singapore,Singapore,Project,FEB9304405028,07/31/2024,Jul-2024,08/02/2024,08/02/2024,08/09/2024,08/04/2024,18:15,991.79,USD,991.79,11.8,4.7,08/02/2024,0.0,0.0,0.0,0.0,595.07,73.17,141.0,NSC,11.8,4.7,USD,25.23,25.23,4.7,966.56,08/02/2024,08/03/2024,Mohammed Al-Farsi,+71 432 7090,FE detail Received,Supriya,4584992144,,18:15,23:15,08/09/2024,4,Not Met,MET,MET,MET,Not Met,MET,MET,08/02/2024,08/09/2024,08/02/2024,OPEN TASK
